Title,Price,nom immobilier,nom quartier,espace en m²,nombre de pièces,nb de chambres,nb salle de bain,Vue_sur_mer,Vue_sur_les_montagnes,Etat,Cheminee,Standing,Chauffage_central,Meuble,Piscine,Cuisine_equipee,Climatisation,Terrasse,Jardin,Annees,Garage
Les Jardins de Carthage à Le Kram,819000 TND,Immobilier Le Kram,Les Jardins de Carthage,225 						m² ,, 3 Chambres , 4 Salles de bains ,,,Bon état,,,Yes,,,Yes,Yes,Yes,,1-5 ans,Yes
Centre Urbain Nord à Cité El Khadra,597000 TND,Immobilier Cité El Khadra,Centre Urbain Nord,146 						m² ,, 3 Chambres , 2 Salles de bains ,,,Bon état,,,Yes,,,Yes,Yes,Yes,,,Yes
El Menzah 9 à El Menzah,380000 TND,Immobilier El Menzah,El Menzah 9,117 						m² , 3 Pièces , 2 Chambres , 2 Salles de bains ,,,Bon état,,,Yes,,,Yes,Yes,,,5-10 ans,Yes
Carthage à Carthage,Prix à consulter,Immobilier Carthage,Carthage,90 						m² , 2 Pièces , 1 Chambre , 1 Salle de bain ,,,À rénover,,,,,,,,,,,
Sidi Bechir à Tunis,125000 TND,Immobilier Tunis,Sidi Bechir,83 						m² , 3 Pièces , 2 Chambres , 1 Salle de bain ,,,Bon état,,,,,,,,Yes,,50-70 ans,
Hammamet à Hammamet,490000 TND,Immobilier Hammamet,Hammamet,117 						m² , 2 Pièces , 2 Chambres , 1 Salle de bain ,,,Nouveau,,,,,Yes,,Yes,Yes,,,Yes
El Haouaria,650000 TND,Immobilier El Haouaria,,180 						m² , 3 Pièces , 2 Chambres , 1 Salle de bain ,,Yes,Bon état,,,,,,Yes,Yes,,,20-30 ans,Yes
Cité Ennasr 1 à Ariana Ville,165000 TND,Immobilier Ariana Ville,Cité Ennasr 1,51 						m² ,, 1 Pièce , 1 Chambre ,,,Bon état,,,,,,Yes,,Yes,,5-10 ans,
El Aouina,400000 TND,Immobilier El Aouina,,140 						m² ,, 1 Salle de bain , 140 						m² ,,,,,,,,,Yes,,Yes,,,
Gammarth à La Marsa,825000 TND,Immobilier La Marsa,Gammarth,189 						m² ,, 1 Salle de bain , 189 						m² ,,,,,,,,,Yes,,Yes,Yes,,Yes
Chotrana 1 à La Soukra,Prix à consulter,Immobilier La Soukra,Chotrana 1,164 						m² , 6 Pièces , 3 Chambres , 2 Salles de bains ,,,Bon état,,,Yes,,,Yes,Yes,,Yes,,Yes
Ain Zaghouan Nord à La Marsa,Prix à consulter,Immobilier La Marsa,Ain Zaghouan Nord,66 						m² ,, 66 						m²,,,,,,,,,,,,,,,Yes
La Marsa à La Marsa,2300000 TND,Immobilier La Marsa,La Marsa,116 						m² , 3 Pièces , 4 Chambres , 1 Salle de bain ,,,Bon état,,,,,,Yes,Yes,,Yes,,
Hammamet à Hammamet,200000 TND,Immobilier Hammamet,Hammamet,78 						m² , 2 Pièces , 2 Chambres , 1 Salle de bain ,Yes,,Nouveau,,,,,,Yes,,Yes,,,
La Marsa,1300000 TND,Immobilier La Marsa,,243 						m² ,, 2 Salles de bains , 243 						m² ,,,,,,,,,,,Yes,,,Yes
Tebourba à Tebourba,220000 TND,Immobilier Tebourba,Tebourba,150 						m² , 4 Pièces , 3 Chambres , 1 Salle de bain ,,,Nouveau,,,,,,,,,,,
La Soukra à La Soukra,Prix à consulter,Immobilier La Soukra,La Soukra,121 						m² , 3 Pièces , 2 Chambres , 2 Salles de bains ,,,Nouveau,,,Yes,,,Yes,Yes,Yes,,Moins d'un an,
La Goulette à La Goulette,Prix à consulter,Immobilier La Goulette,La Goulette,108 						m² , 4 Pièces , 3 Chambres , 1 Salle de bain ,,,Nouveau,,,Yes,,,Yes,Yes,,,,
Hammamet à Hammamet,200000 TND,Immobilier Hammamet,Hammamet,80 						m² ,, 1 Pièce , 2 Chambres ,,,Bon état,,,,,,,,,,Moins d'un an,
Aouina à La Marsa,240000 TND,Immobilier La Marsa,Aouina,65 						m² ,, 1 Pièce , 2 Chambres ,,,Nouveau,,,Yes,,,Yes,Yes,Yes,Yes,,Yes
Dar Fadhal à La Soukra,350000 TND,Immobilier La Soukra,Dar Fadhal,110 						m² , 3 Pièces , 2 Chambres , 2 Salles de bains ,,,Bon état,,,Yes,,,,Yes,Yes,,5-10 ans,Yes
Hammamet à Hammamet,540000 TND,Immobilier Hammamet,Hammamet,164 						m² , 2 Pièces , 2 Chambres , 1 Salle de bain ,,,Nouveau,,,,,,,,,,,
Raoued à Raoued,500000 TND,Immobilier Raoued,Raoued,150 						m² , 4 Pièces , 3 Chambres , 3 Salles de bains ,Yes,,Bon état,,,,,,Yes,,,,,
Aouina à La Marsa,250000 TND,Immobilier La Marsa,Aouina,132 						m² , 4 Pièces , 3 Chambres , 2 Salles de bains ,,,Bon état,,,Yes,,,,Yes,Yes,,10-20 ans,Yes
Khezama Est,Prix à consulter,Immobilier Khezama Est,,90 						m² , 3 Pièces , 2 Chambres , 1 Salle de bain ,Yes,,Bon état,,,Yes,,Yes,Yes,Yes,Yes,,,
Hammamet Sud à Hammamet,255000 TND,Immobilier Hammamet,Hammamet Sud,100 						m² ,, 1 Pièce , 1 Chambre ,,,Nouveau,,,Yes,,Yes,Yes,Yes,Yes,Yes,Moins d'un an,Yes
Megrine Coteau à Mégrine,Prix à consulter,Immobilier Mégrine,Megrine Coteau,100 						m² , 5 Pièces , 3 Chambres , 1 Salle de bain ,,,Nouveau,,,Yes,,,,Yes,,,Moins d'un an,Yes
El Aouina,Prix à consulter,Immobilier El Aouina,,312 						m² ,, 5 Chambres , 312 						m² ,,,,,,,,,Yes,,Yes,Yes,,
Hammamet Sud à Hammamet,Prix à consulter,Immobilier Hammamet,Hammamet Sud,165 						m² , 4 Pièces , 3 Chambres , 2 Salles de bains ,,,Nouveau,,,Yes,,Yes,Yes,Yes,Yes,Yes,5-10 ans,Yes
Ain Zaghouan Nord à La Marsa,1100000 TND,Immobilier La Marsa,Ain Zaghouan Nord,218 						m² ,, 5 Chambres , 218 						m² ,,,,,,,,Yes,,,Yes,,,
Les Jardins de Carthage à Le Kram,450000 TND,Immobilier Le Kram,Les Jardins de Carthage,80 						m² , 2 Pièces , 2 Chambres , 1 Salle de bain ,,,Bon état,,,,Yes,,Yes,,Yes,,,Yes
La Manouba à La Manouba,Prix à consulter,Immobilier La Manouba,La Manouba,70 						m² , 3 Pièces , 3 Chambres , 1 Salle de bain ,,,Bon état,,,Yes,,,,Yes,,,5-10 ans,
,,Immobilier neuf Tunisie,Voir l'annonce,Haut standing ,, En cours de construction , Livraison: 						septembre 2026,,,,,,,,,,,,,,
Mahdia,420000 TND,Immobilier Mahdia,,117 						m² , 3 Pièces , 2 Chambres , 1 Salle de bain ,,,Nouveau,,,Yes,Yes,Yes,Yes,Yes,,,5-10 ans,Yes
Les Jardins de Carthage à Le Kram,320000 TND,Immobilier Le Kram,Les Jardins de Carthage,70 						m² , 2 Pièces , 1 Chambre , 1 Salle de bain ,,,Bon état,,,Yes,,,Yes,Yes,,,Moins d'un an,Yes
Les Berges Du Lac 2 à La Marsa,660000 TND,Immobilier La Marsa,Les Berges Du Lac 2,130 						m² , 3 Pièces , 2 Chambres , 1 Salle de bain ,,,Bon état,,,Yes,,,Yes,Yes,Yes,,,Yes
Les Jardins de Carthage à Le Kram,879800 TND,Immobilier Le Kram,Les Jardins de Carthage,169 						m² , 4 Pièces , 3 Chambres , 3 Salles de bains ,,,Nouveau,,,Yes,,,Yes,Yes,Yes,,,Yes
Ain Zaghouan Nord à La Marsa,619500 TND,Immobilier La Marsa,Ain Zaghouan Nord,164 						m² , 3 Pièces , 2 Chambres , 1 Salle de bain ,,,Nouveau,,,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes
Les Berges Du Lac 2 à La Marsa,780000 TND,Immobilier La Marsa,Les Berges Du Lac 2,158 						m² , 2 Pièces , 1 Chambre , 2 Salles de bains ,,,Bon état,,,Yes,Yes,,Yes,Yes,Yes,,5-10 ans,Yes
Chott Meriem à Akouda,2600000 TND,Immobilier Akouda,Chott Meriem,850 						m² , 8 Pièces , 5 Chambres , 2 Salles de bains ,Yes,,Bon état,,,,,Yes,,,Yes,Yes,,
Les Jardins de Carthage à Le Kram,610000 TND,Immobilier Le Kram,Les Jardins de Carthage,195 						m² ,, 3 Chambres , 195 						m² ,,,,,,,,,Yes,,Yes,,,Yes
Hammamet à Hammamet,295000 TND,Immobilier Hammamet,Hammamet,86 						m² , 2 Pièces , 2 Chambres , 1 Salle de bain ,,,Nouveau,,,,,Yes,,,,,,
Cité El Wafa à Nabeul,270000 TND,Immobilier Nabeul,Cité El Wafa,1 Pièce ,, 1 Chambre , 1 Salle de bain ,,,Nouveau,,,,,Yes,,,,,,Yes
Les Jardins d'El Menzah 1 à Ariana Ville,Prix à consulter,Immobilier Ariana Ville,Les Jardins d'El Menzah 1,143 						m² , 4 Pièces , 3 Chambres , 3 Salles de bains ,,,Nouveau,,,Yes,,,Yes,Yes,Yes,,Moins d'un an,
Megrine Coteau à Mégrine,280000 TND,Immobilier Mégrine,Megrine Coteau,58 						m² , 2 Pièces , 1 Chambre , 1 Salle de bain ,,,Nouveau,,,Yes,,,Yes,Yes,Yes,,1-5 ans,Yes
La Soukra à La Soukra,870000 TND,Immobilier La Soukra,La Soukra,300 						m² ,, 5 Chambres , 300 						m² ,,,,,,Yes,,,Yes,Yes,,Yes,,Yes
El Aouina,450000 TND,Immobilier El Aouina,,178 						m² , 4 Pièces , 4 Chambres , 1 Salle de bain ,,,Bon état,,,,,,Yes,,Yes,,,Yes
La Soukra à La Soukra,490000 TND,Immobilier La Soukra,La Soukra,165 						m² ,, 3 Chambres , 165 						m² ,,,,,,,,,Yes,,Yes,,,Yes
Ariana Essoghra à Raoued,348000 TND,Immobilier Raoued,Ariana Essoghra,129 						m² , 4 Pièces , 3 Chambres , 2 Salles de bains ,,,Bon état,,,Yes,,,Yes,Yes,Yes,,1-5 ans,Yes
Hammamet à Hammamet,Prix à consulter,Immobilier Hammamet,Hammamet,5 Pièces ,, 2 Chambres , 1 Salle de bain ,Yes,,Nouveau,,,Yes,Yes,,Yes,Yes,Yes,,,
