Title,Price,nom immobilier,nom quartier,espace en m²,nombre de pièces,nb de chambres,nb salle de bain,Vue_sur_mer,Vue_sur_les_montagnes,Etat,Cheminee,Standing,Chauffage_central,Meuble,Piscine,Cuisine_equipee,Climatisation,Terrasse,Jardin,Annees,Garage
Cité El Wafa à Nabeul,530000 TND,Immobilier Nabeul,Cité El Wafa,141 						m² , 3 Pièces , 3 Chambres , 1 Salle de bain ,,,Nouveau,,,Yes,,Yes,,Yes,Yes,,,Yes
Cité El Wafa à Nabeul,385000 TND,Immobilier Nabeul,Cité El Wafa,102 						m² , 2 Pièces , 2 Chambres , 1 Salle de bain ,,,Nouveau,,,Yes,,Yes,Yes,Yes,Yes,,1-5 ans,
Cité El Wafa à Nabeul,350000 TND,Immobilier Nabeul,Cité El Wafa,91 						m² , 2 Pièces , 2 Chambres , 1 Salle de bain ,,,Nouveau,,,Yes,,Yes,Yes,Yes,Yes,,1-5 ans,Yes
Cité El Wafa à Nabeul,545000 TND,Immobilier Nabeul,Cité El Wafa,145 						m² , 3 Pièces , 3 Chambres , 1 Salle de bain ,Yes,,Nouveau,,,Yes,,Yes,Yes,Yes,Yes,,,Yes
Bellevue à El Ouardia,550000 TND,Immobilier El Ouardia,Bellevue,480 						m² , 3 Pièces , 3 Chambres , 1 Salle de bain ,,,Nouveau,,,,,,,,,Yes,,Yes
Sousse Jaouhara,295000 TND,Immobilier Sousse Jaouhara,,110 						m² ,, 2 Chambres , 110 						m² ,,,,,,Yes,,,,,Yes,,,
Hammamet Sud à Hammamet,260000 TND,Immobilier Hammamet,Hammamet Sud,65 						m² ,, 1 Pièce , 1 Chambre ,,,Nouveau,,,Yes,,Yes,Yes,Yes,Yes,Yes,Moins d'un an,Yes
La Soukra à La Soukra,395000 TND,Immobilier La Soukra,La Soukra,107 						m² ,, 2 Chambres , 107 						m² ,,,,,,,,,Yes,,Yes,,,Yes
Bizerte,130000 TND,Immobilier Bizerte,,65 						m² , 3 Pièces , 2 Chambres , 1 Salle de bain ,,,Bon état,,,,,,,,,,5-10 ans,
Sousse Ville à Sousse Ville,400000000 TND,Immobilier Sousse Ville,Sousse Ville,90 						m² , 3 Pièces , 2 Chambres , 1 Salle de bain ,,,Bon état,,,Yes,,,Yes,Yes,Yes,,5-10 ans,
Les Berges Du Lac 2 à La Marsa,850000 TND,Immobilier La Marsa,Les Berges Du Lac 2,170 						m² , 5 Pièces , 4 Chambres , 3 Salles de bains ,,,Bon état,,,Yes,,,,Yes,Yes,,,Yes
El Menzah 9 à El Menzah,Prix à consulter,Immobilier El Menzah,El Menzah 9,150 						m² , 3 Pièces , 2 Chambres , 2 Salles de bains ,,,Nouveau,,,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes
Chotrana 1 à La Soukra,668159 TND,Immobilier La Soukra,Chotrana 1,165 						m² , 4 Pièces , 3 Chambres , 3 Salles de bains ,,,Nouveau,,,Yes,,,Yes,Yes,Yes,Yes,Moins d'un an,Yes
Chotrana 1 à La Soukra,366560 TND,Immobilier La Soukra,Chotrana 1,100 						m² , 3 Pièces , 2 Chambres , 2 Salles de bains ,,,Nouveau,,,Yes,,,Yes,Yes,,Yes,Moins d'un an,Yes
Gammarth Village à La Marsa,290000 TND,Immobilier La Marsa,Gammarth Village,110 						m² , 4 Pièces , 3 Chambres , 2 Salles de bains ,,,Bon état,,,Yes,,,Yes,Yes,Yes,,,
Gammarth à La Marsa,940000 TND,Immobilier La Marsa,Gammarth,142 						m² , 22 Pièces , 14 Chambres , 8 Salles de bains ,,Yes,Bon état,,,Yes,,,Yes,,,,1-5 ans,
La Marsa à La Marsa,600000 TND,Immobilier La Marsa,La Marsa,140 						m² , 5 Pièces , 4 Chambres , 1 Salle de bain ,,,Bon état,,,Yes,,,Yes,Yes,,,10-20 ans,
Raoued à Raoued,790000 TND,Immobilier Raoued,Raoued,198 						m² , 4 Pièces , 3 Chambres , 3 Salles de bains ,Yes,,Bon état,,,Yes,Yes,,Yes,Yes,Yes,,1-5 ans,Yes
Gammarth à La Marsa,794000 TND,Immobilier La Marsa,Gammarth,209 						m² , 4 Pièces , 3 Chambres , 3 Salles de bains ,,Yes,Nouveau,,,Yes,,,Yes,Yes,Yes,,,Yes
Gammarth à La Marsa,616000 TND,Immobilier La Marsa,Gammarth,163 						m² , 3 Pièces , 2 Chambres , 2 Salles de bains ,,Yes,Nouveau,,,Yes,,,Yes,Yes,Yes,,Moins d'un an,Yes
Sidi Ahmed à Bizerte Nord,135000 TND,Immobilier Bizerte Nord,Sidi Ahmed,78 						m² , 3 Pièces , 2 Chambres , 1 Salle de bain ,,,Bon état,,,,,,,,Yes,Yes,,
Les Jardins de Carthage à Le Kram,600000 TND,Immobilier Le Kram,Les Jardins de Carthage,103 						m² , 2 Pièces , 2 Chambres , 1 Salle de bain ,,,Nouveau,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Moins d'un an,Yes
Hammamet Nord à Hammamet,350000 TND,Immobilier Hammamet,Hammamet Nord,70 						m² ,, 1 Pièce , 2 Chambres ,,,À rénover,,,,,,,,Yes,,1-5 ans,
La Soukra à La Soukra,470500 TND,Immobilier La Soukra,La Soukra,135 						m² , 4 Pièces , 3 Chambres , 2 Salles de bains ,,,Nouveau,,Haut standing,Yes,,,Yes,Yes,,,,Yes
Ain Zaghouan Nord à La Marsa,Prix à consulter,Immobilier La Marsa,Ain Zaghouan Nord,196 						m² , 2 Pièces , 2 Chambres , 3 Salles de bains ,,,Nouveau,,Haut standing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Moins d'un an,
Sidi Hassine à Sidi Hassine,127629 TND,Immobilier Sidi Hassine,Sidi Hassine,79 						m² , 3 Pièces , 2 Chambres , 1 Salle de bain ,,,Nouveau,,Économique,,,,,,,Yes,,
Gammarth à La Marsa,671700 TND,Immobilier La Marsa,Gammarth,142 						m² , 3 Pièces , 2 Chambres , 2 Salles de bains ,,,Nouveau,,Haut standing,Yes,,,Yes,Yes,Yes,,Moins d'un an,Yes
Les Jardins de Carthage à Le Kram,386000 TND,Immobilier Le Kram,Les Jardins de Carthage,131 						m² ,, 2 Chambres , 1 Salle de bain ,,,,,,,,,,,,Yes,,Yes
La Soukra à La Soukra,430000 TND,Immobilier La Soukra,La Soukra,80 						m² , 2 Pièces , 1 Chambre , 80 						m² ,,,Nouveau,,Haut standing,Yes,,,Yes,Yes,Yes,Yes,,Yes
Ain Zaghouan Nord à La Marsa,Prix à consulter,Immobilier La Marsa,Ain Zaghouan Nord,163 						m² , 4 Pièces , 3 Chambres , 3 Salles de bains ,,,Nouveau,,Haut standing,Yes,Yes,Yes,Yes,Yes,Yes,,Moins d'un an,Yes
,,Immobilier neuf Tunisie,Voir l'annonce,Haut standing ,, En cours de construction,,,,,,,,,,,,,,,
Les Jardins de Carthage à Le Kram,Prix à consulter,Immobilier Le Kram,Les Jardins de Carthage,306 						m² , 4 Pièces , 3 Chambres , 4 Salles de bains ,,,Nouveau,,Haut standing,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes
La Soukra à La Soukra,395000 TND,Immobilier La Soukra,La Soukra,107 						m² ,, 2 Chambres , 107 						m² ,,,,,,,,,Yes,,Yes,,,Yes
Bizerte,130000 TND,Immobilier Bizerte,,65 						m² , 3 Pièces , 2 Chambres , 1 Salle de bain ,,,Bon état,,,,,,,,,,5-10 ans,
Sousse Ville à Sousse Ville,400000000 TND,Immobilier Sousse Ville,Sousse Ville,90 						m² , 3 Pièces , 2 Chambres , 1 Salle de bain ,,,Bon état,,,Yes,,,Yes,Yes,Yes,,5-10 ans,
Les Berges Du Lac 2 à La Marsa,850000 TND,Immobilier La Marsa,Les Berges Du Lac 2,170 						m² , 5 Pièces , 4 Chambres , 3 Salles de bains ,,,Bon état,,,Yes,,,,Yes,Yes,,,Yes
El Menzah 9 à El Menzah,Prix à consulter,Immobilier El Menzah,El Menzah 9,150 						m² , 3 Pièces , 2 Chambres , 2 Salles de bains ,,,Nouveau,,,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes
Chotrana 1 à La Soukra,668159 TND,Immobilier La Soukra,Chotrana 1,165 						m² , 4 Pièces , 3 Chambres , 3 Salles de bains ,,,Nouveau,,,Yes,,,Yes,Yes,Yes,Yes,Moins d'un an,Yes
Chotrana 1 à La Soukra,366560 TND,Immobilier La Soukra,Chotrana 1,100 						m² , 3 Pièces , 2 Chambres , 2 Salles de bains ,,,Nouveau,,,Yes,,,Yes,Yes,,Yes,Moins d'un an,Yes
Gammarth Village à La Marsa,290000 TND,Immobilier La Marsa,Gammarth Village,110 						m² , 4 Pièces , 3 Chambres , 2 Salles de bains ,,,Bon état,,,Yes,,,Yes,Yes,Yes,,,
Gammarth à La Marsa,940000 TND,Immobilier La Marsa,Gammarth,142 						m² , 22 Pièces , 14 Chambres , 8 Salles de bains ,,Yes,Bon état,,,Yes,,,Yes,,,,1-5 ans,
La Marsa à La Marsa,600000 TND,Immobilier La Marsa,La Marsa,140 						m² , 5 Pièces , 4 Chambres , 1 Salle de bain ,,,Bon état,,,Yes,,,Yes,Yes,,,10-20 ans,
Raoued à Raoued,790000 TND,Immobilier Raoued,Raoued,198 						m² , 4 Pièces , 3 Chambres , 3 Salles de bains ,Yes,,Bon état,,,Yes,Yes,,Yes,Yes,Yes,,1-5 ans,Yes
Gammarth à La Marsa,794000 TND,Immobilier La Marsa,Gammarth,209 						m² , 4 Pièces , 3 Chambres , 3 Salles de bains ,,Yes,Nouveau,,,Yes,,,Yes,Yes,Yes,,,Yes
Gammarth à La Marsa,616000 TND,Immobilier La Marsa,Gammarth,163 						m² , 3 Pièces , 2 Chambres , 2 Salles de bains ,,Yes,Nouveau,,,Yes,,,Yes,Yes,Yes,,Moins d'un an,Yes
Sidi Ahmed à Bizerte Nord,135000 TND,Immobilier Bizerte Nord,Sidi Ahmed,78 						m² , 3 Pièces , 2 Chambres , 1 Salle de bain ,,,Bon état,,,,,,,,Yes,Yes,,
Les Jardins de Carthage à Le Kram,600000 TND,Immobilier Le Kram,Les Jardins de Carthage,103 						m² , 2 Pièces , 2 Chambres , 1 Salle de bain ,,,Nouveau,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Moins d'un an,Yes
Hammamet Nord à Hammamet,350000 TND,Immobilier Hammamet,Hammamet Nord,70 						m² ,, 1 Pièce , 2 Chambres ,,,À rénover,,,,,,,,Yes,,1-5 ans,
El Menzah 8 à Ariana Ville,270000 TND,Immobilier Ariana Ville,El Menzah 8,151 						m² , 4 Pièces , 3 Chambres , 2 Salles de bains ,,,Bon état,,,Yes,,,,Yes,Yes,,,Yes
Hammamet à Hammamet,250000 TND,Immobilier Hammamet,Hammamet,75 						m² , 3 Pièces , 2 Chambres , 1 Salle de bain ,,,Bon état,,,,,,,,Yes,,,
Hammamet Nord à Hammamet,460000 TND,Immobilier Hammamet,Hammamet Nord,98 						m² , 3 Pièces , 2 Chambres , 1 Salle de bain ,,,Nouveau,,,,Yes,Yes,,,,Yes,,Yes
Khezama Est,635000 TND,Immobilier Khezama Est,,270 						m² , 7 Pièces , 3 Chambres , 2 Salles de bains ,,,Bon état,,,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes
Sahloul à Sousse Jaouhara,169000 TND,Immobilier Sousse Jaouhara,Sahloul,70 						m² , 5 Pièces , 2 Chambres , 1 Salle de bain ,,,Bon état,,,,,,,Yes,Yes,,,Yes
El Manar 1 à El Menzah,320000 TND,Immobilier El Menzah,El Manar 1,120 						m² ,, 3 Chambres , 2 Salles de bains ,,,Bon état,,,Yes,,,,Yes,Yes,,10-20 ans,
Hammamet Nord à Hammamet,285000 TND,Immobilier Hammamet,Hammamet Nord,70 						m² , 3 Pièces , 2 Chambres , 1 Salle de bain ,,,Bon état,,,Yes,,Yes,Yes,Yes,Yes,Yes,,
Les Jardins de Carthage à Le Kram,750000 TND,Immobilier Le Kram,Les Jardins de Carthage,190 						m² ,, 1 Pièce , 3 Chambres ,,,Bon état,,,Yes,,,Yes,Yes,,Yes,,Yes
Ariana à Ariana Ville,Prix à consulter,Immobilier Ariana Ville,Ariana,162 						m² , 3 Pièces , 2 Chambres , 1 Salle de bain ,,,Bon état,,,,,,,,Yes,Yes,,
Ezzahra à Ezzahra,287000 TND,Immobilier Ezzahra,Ezzahra,116 						m² , 3 Pièces , 2 Chambres , 1 Salle de bain ,,,Nouveau,,Haut standing,Yes,,,Yes,Yes,,,Moins d'un an,Yes
Les Jardins de Carthage à Le Kram,Prix à consulter,Immobilier Le Kram,Les Jardins de Carthage,112 						m² , 3 Pièces , 2 Chambres , 2 Salles de bains ,,,Nouveau,,Haut standing,Yes,,,Yes,Yes,,Yes,Moins d'un an,Yes
Les Jardins de Carthage à Le Kram,Prix à consulter,Immobilier Le Kram,Les Jardins de Carthage,182 						m² , 4 Pièces , 3 Chambres , 3 Salles de bains ,,,Nouveau,,Haut standing,Yes,,,Yes,Yes,Yes,Yes,Moins d'un an,Yes
Les Jardins de Carthage à Le Kram,1105000 TND,Immobilier Le Kram,Les Jardins de Carthage,209 						m² , 7 Pièces , 4 Chambres , 4 Salles de bains ,,,Nouveau,Yes,Haut standing,Yes,,,Yes,Yes,Yes,,,
Riadh al Andalous à Ariana Ville,Prix à consulter,Immobilier Ariana Ville,Riadh al Andalous,89 						m² ,, 2 Chambres , 1 Salle de bain ,,,,,Haut standing,,Yes,,,,,,,Yes
Radès à Rades,Prix à consulter,Immobilier Rades,Radès,78 						m² , 2 Pièces , 1 Chambre , 1 Salle de bain ,,,Nouveau,,Haut standing,Yes,,,Yes,Yes,Yes,Yes,Moins d'un an,Yes
Cité el Ghazela à Raoued,Prix à consulter,Immobilier Raoued,Cité el Ghazela,114 						m² , 4 Pièces , 3 Chambres , 2 Salles de bains ,,,Nouveau,,Haut standing,Yes,,,Yes,Yes,,,,
,,Immobilier neuf Tunisie,Voir l'annonce,Haut standing ,, En cours de construction , Livraison: 						décembre 2025,,,,,,,,,,,,,,
Les Jardins de Carthage à Le Kram,Prix à consulter,Immobilier Le Kram,Les Jardins de Carthage,75 						m² , 2 Pièces , 1 Chambre , 1 Salle de bain ,,,Nouveau,,Haut standing,Yes,,,Yes,Yes,Yes,Yes,Moins d'un an,Yes
Bab El Khadra à Tunis,170000 TND,Immobilier Tunis,Bab El Khadra,82 						m² , 2 Pièces , 1 Chambre , 1 Salle de bain ,,,Nouveau,,,Yes,,,Yes,Yes,Yes,,1-5 ans,
Ezzahra à Ezzahra,400000 TND,Immobilier Ezzahra,Ezzahra,137 						m² , 4 Pièces , 3 Chambres , 1 Salle de bain ,,,Nouveau,,,Yes,,,Yes,Yes,Yes,,,Yes
La Soukra,450000 TND,Immobilier La Soukra,,198 						m² ,, 198 						m²,,,,,,,Yes,,,,,Yes,,,Yes
La Soukra,337000 TND,Immobilier La Soukra,,141 						m² ,, 141 						m²,,,,,,,Yes,,,,,Yes,,,Yes
Aouina à La Marsa,220000 TND,Immobilier La Marsa,Aouina,85 						m² , 3 Pièces , 2 Chambres , 1 Salle de bain ,,,Bon état,,,Yes,,,,Yes,Yes,,10-20 ans,
Cité El Wafa à Nabeul,400000 TND,Immobilier Nabeul,Cité El Wafa,97 						m² , 3 Pièces , 2 Chambres , 1 Salle de bain ,,Yes,Nouveau,,,Yes,,Yes,Yes,Yes,Yes,,Moins d'un an,Yes
Hammamet Nord à Hammamet,390000 TND,Immobilier Hammamet,Hammamet Nord,116 						m² , 3 Pièces , 2 Chambres , 1 Salle de bain ,,,Bon état,,,,,,Yes,,Yes,,,Yes
Hammamet Nord à Hammamet,315000 TND,Immobilier Hammamet,Hammamet Nord,104 						m² , 3 Pièces , 2 Chambres , 1 Salle de bain ,,,Bon état,,,Yes,,Yes,Yes,Yes,Yes,,,
Kélibia,180000 TND,Immobilier Kélibia,,105 						m² , 2 Pièces , 2 Chambres , 1 Salle de bain ,Yes,,Nouveau,,,,,,,,Yes,,1-5 ans,
Sidi El Mahrsi à Nabeul,300000 TND,Immobilier Nabeul,Sidi El Mahrsi,52 						m² , 2 Pièces , 1 Chambre , 1 Salle de bain ,,Yes,Nouveau,,,Yes,,Yes,Yes,Yes,Yes,Yes,Moins d'un an,Yes
Cité El Wafa à Nabeul,280000 TND,Immobilier Nabeul,Cité El Wafa,60 						m² , 2 Pièces , 1 Chambre , 1 Salle de bain ,,,Nouveau,,,Yes,,Yes,Yes,Yes,Yes,,Moins d'un an,Yes
Cité El Wafa à Nabeul,195000 TND,Immobilier Nabeul,Cité El Wafa,65 						m² , 2 Pièces , 1 Chambre , 1 Salle de bain ,,Yes,Bon état,,,Yes,Yes,Yes,Yes,Yes,Yes,,5-10 ans,Yes
Cité de la Plage à Hammam Sousse,350000 TND,Immobilier Hammam Sousse,Cité de la Plage,80 						m² ,, 1 Pièce , 1 Chambre ,,,Nouveau,,,,,,,,,,,Yes
Akouda à Akouda,250000 TND,Immobilier Akouda,Akouda,110 						m² , 2 Pièces , 3 Chambres , 1 Salle de bain ,,,Nouveau,,,Yes,,,,Yes,,,,
Cité de la Plage à Hammam Sousse,350000 TND,Immobilier Hammam Sousse,Cité de la Plage,75 						m² ,, 1 Pièce , 1 Chambre ,,,Nouveau,,,Yes,,,,Yes,Yes,,,Yes
Ain Zaghouan Nord à La Marsa,Prix à consulter,Immobilier La Marsa,Ain Zaghouan Nord,111 						m² , 4 Pièces , 3 Chambres , 2 Salles de bains ,,,À rénover,,,Yes,,,Yes,Yes,Yes,,,Yes
El Menzah 7 à Ariana Ville,Prix à consulter,Immobilier Ariana Ville,El Menzah 7,180 						m² , 4 Pièces , 3 Chambres , 2 Salles de bains ,,,Nouveau,,,Yes,,,Yes,Yes,Yes,,,Yes
Chotrana 1 à La Soukra,519000 TND,Immobilier La Soukra,Chotrana 1,160 						m² , 4 Pièces , 3 Chambres , 3 Salles de bains ,,,Nouveau,,,Yes,,,Yes,Yes,Yes,,Moins d'un an,Yes
El Manar 2 à El Menzah,230000 TND,Immobilier El Menzah,El Manar 2,93 						m² , 3 Pièces , 2 Chambres , 2 Salles de bains ,,,Bon état,,,Yes,Yes,,Yes,Yes,Yes,,,Yes
Ain Zaghouan Nord à La Marsa,300000 TND,Immobilier La Marsa,Ain Zaghouan Nord,117 						m² , 2 Pièces , 1 Chambre , 1 Salle de bain ,,,Bon état,,,Yes,,,Yes,,Yes,,1-5 ans,Yes
La Soukra à La Soukra,329000 TND,Immobilier La Soukra,La Soukra,138 						m² , 4 Pièces , 3 Chambres , 2 Salles de bains ,,,Nouveau,,,Yes,,,Yes,,Yes,,Moins d'un an,Yes
El Manar 1 à El Menzah,279000 TND,Immobilier El Menzah,El Manar 1,120 						m² , 4 Pièces , 3 Chambres , 2 Salles de bains ,,,Bon état,,,Yes,,,,Yes,,,30-50 ans,Yes
Marsa Erriadh à La Marsa,660000 TND,Immobilier La Marsa,Marsa Erriadh,143 						m² , 4 Pièces , 3 Chambres , 2 Salles de bains ,,,,,,,,,Yes,,Yes,,,
Cité Ennasr 2 à Ariana Ville,Prix à consulter,Immobilier Ariana Ville,Cité Ennasr 2,76 						m² , 2 Pièces , 1 Chambre , 1 Salle de bain ,,,Nouveau,,,Yes,Yes,,Yes,Yes,Yes,Yes,5-10 ans,Yes
Les Berges Du Lac 2 à La Marsa,1750000 TND,Immobilier La Marsa,Les Berges Du Lac 2,400 						m² , 6 Pièces , 4 Chambres , 2 Salles de bains ,,,Bon état,,,,,,,,,,10-20 ans,
Riadh al Andalous à Ariana Ville,Prix à consulter,Immobilier Ariana Ville,Riadh al Andalous,89 						m² ,, 2 Chambres , 1 Salle de bain ,,,,,Haut standing,,Yes,,,,,,,Yes
Radès à Rades,Prix à consulter,Immobilier Rades,Radès,78 						m² , 2 Pièces , 1 Chambre , 1 Salle de bain ,,,Nouveau,,Haut standing,Yes,,,Yes,Yes,Yes,Yes,Moins d'un an,Yes
Cité el Ghazela à Raoued,Prix à consulter,Immobilier Raoued,Cité el Ghazela,114 						m² , 4 Pièces , 3 Chambres , 2 Salles de bains ,,,Nouveau,,Haut standing,Yes,,,Yes,Yes,,,,
Les Jardins de Carthage à Le Kram,Prix à consulter,Immobilier Le Kram,Les Jardins de Carthage,75 						m² , 2 Pièces , 1 Chambre , 1 Salle de bain ,,,Nouveau,,Haut standing,Yes,,,Yes,Yes,Yes,Yes,Moins d'un an,Yes
La Soukra à La Soukra,570000 TND,Immobilier La Soukra,La Soukra,144 						m² , 4 Pièces , 3 Chambres , 2 Salles de bains ,,,Nouveau,,Haut standing,Yes,,,Yes,Yes,Yes,Yes,,Yes
Les Jardins de Carthage à Le Kram,435000 TND,Immobilier Le Kram,Les Jardins de Carthage,90 						m² ,, 2 Chambres , 1 Salle de bain ,,,Nouveau,,,Yes,,,Yes,Yes,Yes,,1-5 ans,Yes
Les Jardins de Carthage à Le Kram,360000 TND,Immobilier Le Kram,Les Jardins de Carthage,60 						m² ,, 1 Chambre , 1 Salle de bain ,,,Bon état,,,Yes,,,Yes,Yes,,,1-5 ans,Yes
,,Immobilier neuf Tunisie,Voir l'annonce,Haut standing ,, En cours de construction , Livraison: 						décembre 2025,,,,,,,,,,,,,,
La Soukra à La Soukra,580000 TND,Immobilier La Soukra,La Soukra,200 						m² ,, 4 Chambres , 3 Salles de bains ,,,Bon état,,,Yes,,,Yes,Yes,,,5-10 ans,Yes
Cité Ennkhilet à Raoued,388500 TND,Immobilier Raoued,Cité Ennkhilet,305 						m² , 3 Pièces , 3 Chambres , 1 Salle de bain ,,,Nouveau,,,Yes,,,Yes,,Yes,,,
Sidi Bechir à Tunis,85000 TND,Immobilier Tunis,Sidi Bechir,51 						m² , 5 Pièces , 2 Chambres , 1 Salle de bain ,,,Bon état,,,,,,,,,,30-50 ans,
Tantana,560000 TND,Immobilier Tantana,,160 						m² , 4 Pièces , 2 Chambres , 1 Salle de bain ,Yes,,Nouveau,,,Yes,,Yes,Yes,Yes,,Yes,,Yes
Khezama Est,200000 TND,Immobilier Khezama Est,,55 						m² , 2 Pièces , 1 Chambre , 1 Salle de bain ,,,Bon état,,,Yes,,,Yes,Yes,Yes,,,Yes
Les Jardins de Carthage à Le Kram,750000 TND,Immobilier Le Kram,Les Jardins de Carthage,180 						m² , 4 Pièces , 3 Chambres , 2 Salles de bains ,,,Bon état,,,Yes,,,Yes,Yes,Yes,,,Yes
Chott Meriem à Akouda,240000 TND,Immobilier Akouda,Chott Meriem,41 						m² ,, 1 Pièce , 1 Chambre ,,,Nouveau,,,Yes,,Yes,Yes,Yes,Yes,,,
Cité Ennasr 1 à Ariana Ville,520000 TND,Immobilier Ariana Ville,Cité Ennasr 1,193 						m² , 4 Pièces , 4 Chambres , 2 Salles de bains ,,,Bon état,,,Yes,,,Yes,Yes,Yes,,,Yes
Nouvelle Ariana à Ariana Ville,650000 TND,Immobilier Ariana Ville,Nouvelle Ariana,300 						m² , 10 Pièces , 10 Chambres , 300 						m² ,,,,,,Yes,,,,Yes,,,,
Le Kram à Le Kram,420000 TND,Immobilier Le Kram,Le Kram,138 						m² , 4 Pièces , 3 Chambres , 3 Salles de bains ,,,Bon état,,,Yes,,,Yes,Yes,Yes,,10-20 ans,
Gammarth Supérieur à La Marsa,660000 TND,Immobilier La Marsa,Gammarth Supérieur,180 						m² , 4 Pièces , 3 Chambres , 2 Salles de bains ,,,Bon état,,,Yes,Yes,,Yes,Yes,,,,
Raoued à Raoued,590000 TND,Immobilier Raoued,Raoued,154 						m² , 3 Pièces , 2 Chambres , 2 Salles de bains ,Yes,,Nouveau,,,Yes,,,Yes,Yes,Yes,,Moins d'un an,Yes
Raoued à Raoued,315000 TND,Immobilier Raoued,Raoued,75 						m² , 2 Pièces , 1 Chambre , 1 Salle de bain ,Yes,,Nouveau,,,Yes,,,Yes,Yes,Yes,,Moins d'un an,Yes
Les Jardins de Carthage à Le Kram,594000 TND,Immobilier Le Kram,Les Jardins de Carthage,132 						m² , 3 Pièces , 2 Chambres , 2 Salles de bains ,,,Nouveau,,,Yes,,,Yes,Yes,Yes,,Moins d'un an,
Les Jardins de Carthage à Le Kram,747000 TND,Immobilier Le Kram,Les Jardins de Carthage,166 						m² , 4 Pièces , 3 Chambres , 2 Salles de bains ,,,Nouveau,,,Yes,,,Yes,Yes,Yes,,Moins d'un an,
La Perle du Lac 1 à La Marsa,1233000 TND,Immobilier La Marsa,La Perle du Lac 1,164 						m² , 3 Pièces , 2 Chambres , 2 Salles de bains ,,,Nouveau,,,Yes,,,Yes,Yes,Yes,Yes,,Yes
Les Jardins de Carthage à Le Kram,725000 TND,Immobilier Le Kram,Les Jardins de Carthage,168 						m² , 4 Pièces , 3 Chambres , 3 Salles de bains ,,,Bon état,,,Yes,,,Yes,Yes,Yes,,,Yes
Chotrana 1 à La Soukra,550000 TND,Immobilier La Soukra,Chotrana 1,134 						m² , 3 Pièces , 2 Chambres , 2 Salles de bains ,,,Nouveau,,,Yes,Yes,,Yes,Yes,Yes,,1-5 ans,Yes
Cité El Wafa à Nabeul,380000 TND,Immobilier Nabeul,Cité El Wafa,116 						m² , 3 Pièces , 2 Chambres , 1 Salle de bain ,Yes,,Bon état,,,Yes,,Yes,Yes,Yes,Yes,,5-10 ans,Yes
Hammamet à Hammamet,Prix à consulter,Immobilier Hammamet,Hammamet,82 						m² ,, 1 Pièce , 1 Chambre ,,,Bon état,,,Yes,,Yes,Yes,Yes,Yes,Yes,,
Cité Ennasr 1 à Ariana Ville,Prix à consulter,Immobilier Ariana Ville,Cité Ennasr 1,167 						m² , 2 Pièces , 2 Chambres , 2 Salles de bains ,,,Bon état,,,Yes,,,Yes,,Yes,,,Yes
Cité Karim à Ariana Ville,230000 TND,Immobilier Ariana Ville,Cité Karim,2 Pièces ,, 2 Chambres , 1 Salle de bain ,,,Bon état,,,,,,Yes,,Yes,,,Yes
Cité de la Plage à Hammam Sousse,990000 TND,Immobilier Hammam Sousse,Cité de la Plage,320 						m² , 6 Pièces , 5 Chambres , 3 Salles de bains ,Yes,,Nouveau,,,Yes,,,Yes,Yes,Yes,,1-5 ans,Yes
El Kantaoui à Hammam Sousse,165000 TND,Immobilier Hammam Sousse,El Kantaoui,80 						m² , 3 Pièces , 2 Chambres , 1 Salle de bain ,,,À rénover,,,,,,,,Yes,,20-30 ans,
Hammamet Nord à Hammamet,420000 TND,Immobilier Hammamet,Hammamet Nord,71 						m² , 3 Pièces , 2 Chambres , 1 Salle de bain ,,,Bon état,,,Yes,,,Yes,Yes,Yes,,5-10 ans,
Les Jardins de Carthage à Le Kram,435000 TND,Immobilier Le Kram,Les Jardins de Carthage,90 						m² ,, 2 Chambres , 1 Salle de bain ,,,Nouveau,,,Yes,,,Yes,Yes,Yes,,1-5 ans,Yes
Les Jardins de Carthage à Le Kram,360000 TND,Immobilier Le Kram,Les Jardins de Carthage,60 						m² ,, 1 Chambre , 1 Salle de bain ,,,Bon état,,,Yes,,,Yes,Yes,,,1-5 ans,Yes
La Soukra à La Soukra,580000 TND,Immobilier La Soukra,La Soukra,200 						m² ,, 4 Chambres , 3 Salles de bains ,,,Bon état,,,Yes,,,Yes,Yes,,,5-10 ans,Yes
La Soukra à La Soukra,390000 TND,Immobilier La Soukra,La Soukra,115 						m² , 3 Pièces , 2 Chambres , 2 Salles de bains ,,,Bon état,,,Yes,,,Yes,Yes,Yes,,5-10 ans,Yes
La Manouba à La Manouba,272000 TND,Immobilier La Manouba,La Manouba,98 						m² , 3 Pièces , 2 Chambres , 1 Salle de bain ,,,Nouveau,,Haut standing,Yes,,,,Yes,,,,
Bou Mhel à Boumhel Bassatine,390000 TND,Immobilier Boumhel Bassatine,Bou Mhel,122 						m² , 4 Pièces , 3 Chambres , 2 Salles de bains ,,,Nouveau,,Haut standing,Yes,,,Yes,Yes,Yes,,,
